Product,Brand,Category,Style,Quantity,Quantity Units,Volume,Package,ABV,Units of Alcohol
13 Guns,Crafty Dan,Beer,IPA,330,ml,330,can,5.5,1.8
13 Guns,Crafty Dan,Beer,IPA,1,pint,568,draught,5.5,3.1
Abbot Ale,Greene King,Beer,Ale,500,ml,500,bottle,5.0,2.5
Abbot Ale,Greene King,Beer,Beer,1,pint,568,draught,5.0,2.8
Addlestones Cloudy,Addlestones,Cider,,500,ml,500,bottle,5.0,2.5
Addlestones Cloudy,Stone,Cider,,1,pint,568,draught,5.2,3.0
Adnams Broadside,Adnams,Beer,,1,pint,568,draught,4.7,2.7
Adnams Crystal Rye IPA,Adnams,Beer,Rye Beer,330,ml,330,can,5.0,1.7
Adnams Dry Hopped Lager,Adnams,Beer,Lager,330,ml,330,bottle,4.2,1.4
Adnams FreeWheel,Adnams,Beer,Summer Ale,1,pint,568,draught,3.6,2.0
Adnams Ghost Ship,Adnams,Beer,Pale Ale,1,pint,568,draught,4.5,2.6
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,330,ml,330,bottle,4.1,1.4
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,330,ml,330,can,4.1,1.4
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,1,pint,568,draught,4.1,2.3
Adnams Sloe Storm,Adnams,Beer,Amber Ale,1,pint,568,draught,4.0,2.3
Adnams Southwold Bitter,Adnams,Beer,Amber Ale,1,pint,568,draught,3.7,2.1
Ale Fresco,Greene King,Beer,Ale,1,pint,568,draught,4.3,2.4
Alhambra Especial,Alhambra,Beer,Lager,1,pint,568,draught,4.8,2.7
Alhambra Reserva,Alhambra,Beer,Lager,330,ml,330,bottle,6.4,2.1
Amarillo Single Hop Session IPA,Greene King,Beer,IPA,1,pint,568,draught,3.8,2.2
Amigos,Amigos,Beer,Lager,330,ml,330,bottle,5.1,1.7
Amstel,Amstel,Beer,Lager,330,ml,330,bottle,4.1,1.4
Amstel Lager,Amstel,Beer,Lager,1,pint,568,draught,4.1,2.3
Anchor California Lager,Anchor,Beer,Lager,355,ml,355,bottle,4.9,1.7
Anchor Liberty Ale,Anchor,Beer,IPA,355,ml,355,bottle,5.9,2.1
Anchor Porter,Anchor,Beer,Porter,335,ml,335,bottle,5.6,1.9
Anchor Steam Beer,Anchor,Beer,Steam Beer,355,ml,355,bottle,4.8,1.7
Anchor Steam Beer,Anchor,Beer,Steam Beer,1,pint,568,draught,4.8,2.7
Angry Orchard Cider,Angry Orchard,Cider,,500,ml,500,bottle,5.0,2.5
Angry Orchard Hard Cider,Angry Orchard,Cider,,1,pint,568,draught,5.0,2.8
Ansells Drum Mild,Ansells,Beer,Bitter,1,pint,568,draught,3.2,1.8
Asahi Super Dry,Asahi,Beer,Lager,330,ml,330,bottle,5.2,1.7
Asahi Super Dry,Asahi,Beer,Lager,1,pint,568,draught,5.2,3.0
Ashton Press Cider,Ashton Press,Cider,,500,ml,500,bottle,4.8,2.4
Aspall Cyder,Aspall,Cider,,1,pint,568,draught,4.5,2.6
Aspall Cyderkyn,Aspall,Cider,,1,pint,568,draught,3.8,2.2
Aspall Draught Cyder,Aspall,Cider,,330,ml,330,bottle,5.5,1.8
Aspall Draught Cyder,Aspall,Cider,,1,pint,568,draught,5.5,3.1
Aspall Harry Sparrow,Aspall,Cider,,500,ml,500,bottle,4.6,2.3
Aspall Harry Sparrow,Aspall,Cider,,1,pint,568,draught,4.6,2.6
Aspall Isabel's Berry,Aspall,Cider,Fruit Cider,500,ml,500,bottle,3.8,1.9
Aspall Mulled Cyder,Aspall,Cider,Mulled Cider,1,pint,568,draught,3.8,2.2
Aspall Peronelle's Blush,Aspall,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Aspall Premier Cru Cyder,Aspall,Cider,,500,ml,500,bottle,7.0,3.5
Babycham Popping Cork,Babycham,Cider,Perry,75,cl,750,bottle,5.5,4.1
Back of the Net,Greene King,Beer,Blonde Ale,1,pint,568,draught,4.1,2.3
Bad Apple Cider,Bad Apple,Cider,,1,pint,568,draught,5.1,2.9
Bah Humbug,Wychwood,Beer,Ale,1,pint,568,draught,4.3,2.4
Bass,Bass,Beer,,500,ml,500,bottle,4.4,2.2
Bass,Bass,Beer,Ale,1,pint,568,draught,4.4,2.5
Bass Smooth,Bass,Beer,,1,pint,568,draught,3.6,2.0
Bath Ales Gem,Bath Ales,Beer,Bitter,1,pint,568,draught,4.1,2.3
Beck's Bier,Beck's,Beer,Lager,275,ml,275,bottle,4.8,1.3
Beck's Bier,Beck's,Beer,Lager,1,pint,568,draught,4.9,2.8
Beck's Blue,Beck's,Beer,Lager,275,ml,275,bottle,0.0,0.0
Beck's Vier,Beck's,Beer,Lager,1,pint,568,draught,4.0,2.3
Bedlam Pale Ale,Bedlam,Beer,Pale Ale,1,pint,568,draught,4.8,2.7
Beerd Monterey,Beerd,Beer,Pale Ale,1,pint,568,draught,3.1,1.8
Belhaven Best,Belhaven,Beer,Bitter,1,pint,568,draught,3.2,1.8
Belhaven Export 80/- ,Belhaven,Beer,Ale,500,ml,500,bottle,3.9,2.0
Belhaven Light,Belhaven,Beer,Ale,1,pint,568,draught,2.7,1.5
Bellerose Blonde,Bellerose,Beer,Lager,330,ml,330,bottle,6.5,2.1
Bellerose Blonde Extra,Bellerose,Beer,Lager,330,ml,330,bottle,6.5,2.1
Belleville Balham Black Lager,Belleville,Beer,Lager,330,ml,330,can,4.6,1.5
Bellfield Bohemian Pilsner Gluten Free,Bellfield,Beer,Lager,330,ml,330,bottle,4.5,1.5
Bellfield Bohmenian Pilsner,Bellfield,Beer,Lager,1,pint,568,draught,4.5,2.6
Bellfield Lawless Village IPA,Bellfield,Beer,IPA,1,pint,568,draught,4.5,2.6
Bellfield Lawless Village IPA Gluten Free,Bellfield,Beer,IPA,330,ml,330,bottle,4.5,1.5
Berliner Heist,The London Beer Factory,Beer,Sour Beer,330,ml,330,can,3.5,1.2
Berliner Pilsner,Berliner,Beer,Lager,330,ml,330,can,5.0,1.7
Berliner Pilsner,Berliner,Beer,Lager,1,pint,568,draught,5.0,2.8
Betty Stogs,Skinners,Beer,Bitter,1,pint,568,draught,4.0,2.3
Beyond The Pale,The London Beer Factory,Beer,Pale Ale,330,ml,330,can,4.2,1.4
Beyond the Pale,The London Beer Factory,Beer,Pale Ale,1,pint,568,draught,4.2,2.4
Big Hug Juicy Pale,Big Hug Brewing,Beer,Pale Ale,330,ml,330,can,4.0,1.3
Big Hug Juicy Pale,Big Hug Brewing,Beer,Pale Ale,1,pint,568,draught,4.0,2.3
Big Hug Pilsner,Big Hug Brewing,Beer,Lager,330,ml,330,can,4.2,1.4
Big Hug Pilsner,Big Hug Brewing,Beer,Lager,1,pint,568,draught,4.2,2.4
Big Hug Spirit Pale Ale,Big Hug Brewing,Beer,Pale Ale,330,ml,330,bottle,4.2,1.4
Big Hug Spirit Pale Ale,Big Hug Brewing,Beer,Lager,330,ml,330,can,4.2,1.4
Big Hug White IPA,Big Hug Brewing,Beer,IPA,330,ml,330,bottle,5.2,1.7
Big Hug White IPA,Big Hug Brewing,Beer,IPA,330,ml,330,can,5.2,1.7
Big Hug White IPA,Big Hug Brewing,Beer,IPA,1,pint,568,draught,5.2,3.0
Birra del Borgo Cortigianna,Birra del Borgo,Beer,Pale Ale,33,cl,330,bottle,5.0,1.7
Birra Del Borgo Lisa,Birra del Borgo,Beer,Lager,1,pint,568,draught,5.0,2.8
Birra Moretti,Birra Moretti,Beer,Lager,330,ml,330,bottle,4.6,1.5
Birra Moretti,Birra Moretti,Beer,Lager,330,ml,330,can,4.6,1.5
Birra Moretti,Birra Moretti,Beer,Lager,1,pint,568,draught,4.6,2.6
Birra Poretti,Poretti,Beer,Lager,1,pint,568,draught,4.8,2.7
Birra Poretti 3,Poretti,Beer,Lager,1,pint,568,draught,4.8,2.7
Bishops Farewell,Oakham Ales,Beer,Ale,500,ml,500,bottle,4.6,2.3
Bishops Finger,Shepherd Neame,Beer,Ale,500,ml,500,bottle,5.4,2.7
Bishops Finger,Shepherd Neame,Beer,Ale,1,pint,568,draught,5.0,2.8
Bitburger Pils,Bitburger,Beer,Lager,1,pint,568,draught,4.8,2.7
Black Sheep Ale,Black Sheep,Beer,Ale,500,ml,500,bottle,4.4,2.2
Black Sheep Ale,Black Sheep,Beer,Ale,1,pint,568,draught,4.4,2.5
Black Sheep Best Bitter,Black Sheep,Beer,Bitter,1,pint,568,draught,3.8,2.2
Black Sheep Bitter,Black Sheep,Beer,Bitter,1,pint,568,draught,3.8,2.2
Black Sheep Blind Side,Black Sheep,Beer,Ale,1,pint,568,draught,4.3,2.4
Black Sheep Blitzen,Black Sheep,Beer,Ale,1,pint,568,draught,4.0,2.3
Black Sheep Golden Sheep,Black Sheep,Beer,Ale,500,ml,500,bottle,4.7,2.4
Black Sheep Milk Stout,Black Sheep,Beer,Stout,1,pint,568,draught,4.4,2.5
Black Sheep Pathmaker,Black Sheep,Beer,Pale Ale,1,pint,568,draught,4.0,2.3
Black Sheep Riggwelter,Black Sheep,Beer,Ale,500,ml,500,bottle,5.7,2.9
Black Sheep Velo,Black Sheep,Beer,Pale Ale,1,pint,568,draught,4.2,2.4
Blackthorn Gold,Blackthorn,Cider,,440,ml,440,can,4.7,2.1
Blackthorn Gold,Blackthorn,Cider,,1,pint,568,draught,4.7,2.7
Blind Pig Bourbon & Blueberry,Blind Pig,Cider,Fruit Cider,355,ml,355,bottle,5.5,2.0
Blind Pig Whiskey Honey & Apple,Blind Pig,Cider,,355,ml,355,bottle,5.5,2.0
Blue Moon,Blue Moon,Beer,Wheat Beer,330,ml,330,bottle,5.4,1.8
Blue Moon,Blue Moon,Beer,Wheat Beer,1,pint,568,draught,5.4,3.1
Blue Point Toasted,Blue Point,Beer,Lager,1,pint,568,draught,5.5,3.1
Boddingtons,Boddingtons,Beer,Bitter,440,ml,440,can,3.8,1.7
Boddingtons,Boddingtons,Beer,Bitter,1,pint,568,draught,3.5,2.0
Bolee D'Armorique Cidre Brut,Bolee D'Armorique,Cider,,330,ml,330,bottle,5.0,1.7
Bombardier,Bombardier,Beer,Bitter,500,ml,500,bottle,4.7,2.4
Bombardier,Bombardier,Beer,Bitter,1,pint,568,draught,4.1,2.3
Bombardier Burning Gold,Bombardier,Beer,Ale,1,pint,568,draught,4.1,2.3
Bombardier Pale Ale,Bombardier,Beer,Pale Ale,1,pint,568,draught,3.6,2.0
